assetId,category,name
876D51F4-3D78-4221-8AD2-F9E78C0FD9B9,Cityscape,Dubai from Above
E991AC0C-F272-44D8-88F3-05F44EDFE3AE,Cityscape,Dubai Creek Harbor
35693AEA-F8C4-4A80-B77D-C94B20A68956,Cityscape,Los Angeles Overpass
92E48DE9-13A1-4172-B560-29B4668A87EE,Cityscape,Los Angeles Beach
CE279831-1CA7-4A83-A97B-FF1E20234396,Cityscape,Los Angeles Airport
89B1643B-06DD-4DEC-B1B0-774493B0F7B7,Cityscape,Los Angeles Sunset
EC67726A-8212-4C5E-83CF-8412932740D2,Cityscape,Los Angeles Hills
F5804DD6-5963-40DA-9FA0-39C0C6E6DEF9,Cityscape,Los Angeles Night
F604AF56-EA77-4960-AEF7-82533CC1A8B3,Cityscape,London Evening
58754319-8709-4AB0-8674-B34F04E7FFE2,Cityscape,London Skyline
7F4C26C2-67C2-4C3A-8F07-8A7BF6148C97,Cityscape,London Thames
A5AAFF5D-8887-42BB-8AFD-867EF557ED85,Cityscape,London from Above
44166C39-8566-4ECA-BD16-43159429B52F,Cityscape,New York Night
840FE8E4-D952-4680-B1A7-AC5BACA2C1F8,Cityscape,New York Midtown
3BA0CFC7-E460-4B59-A817-B97F9EBB9B89,Cityscape,New York from Above
640DFB00-FBB9-45DA-9444-9F663859F4BC,Cityscape,New York Skyline
29BDF297-EB43-403A-8719-A78DA11A2948,Cityscape,San Francisco Evening
72B4390D-DF1D-4D51-B179-229BBAEFFF2C,Cityscape,San Francisco's Gold Gate Bridge
4AD99907-9E76-408D-A7FC-8429FF014201,Cityscape,San Francisco's Ferry Building
3E94AE98-EAF2-4B09-96E3-452F46BC114E,Cityscape,San Francisco Night
85CE77BF-3413-4A7B-9B0F-732E96229A73,Cityscape,San Francisco Skyline
DE851E6D-C2BE-4D9F-AB54-0F9CE994DC51,Cityscape,San Francisco Bay
EE533FBD-90AE-419A-AD13-D7A60E2015D6,Cityscape,San Francisco Fog
FE8E1F9D-59BA-4207-B626-28E34D810D0A,Cityscape,Hong Kong Harbor
024891DE-B7F6-4187-BFE0-E6D237702EF0,Cityscape,Hong Kong Skyline
C8559883-6F3E-4AF2-8960-903710CD47B7,Cityscape,Hong Kong Horizon
E99FA658-A59A-4A2D-9F3B-58E7BDC71A9A,Cityscape,Hong Kong Night
C7AD3D0A-7EDF-412C-A237-B3C9D27381A1,Underwater,Alaskan Jellies Light
C6DC4E54-1130-44F8-AF6F-A551D8E8A181,Underwater,Alaskan Jellies Dark
27A37B0F-738D-4644-A7A4-E33E7A6C1175,Underwater,California Dolphin Pod
EB3F48E7-D30F-4079-858F-1A61331D5026,Underwater,California Kelp Forest
8C31B06F-91A4-4F7C-93ED-56146D7F48B9,Underwater,Tahiti Coast
149E7795-DBDA-4F5D-B39A-14712F841118,Underwater,Tahiti Waves Mist
83C65C90-270C-4490-9C69-F51FE03D7F06,Underwater,Seal Pod
F07CC61B-30FC-4614-BDAD-3240B61F6793,Underwater,Palau Coral Colors
2B30E324-E4FF-4CC1-BA45-A958C2D2B2EC,Underwater,Barracuda Battery
BA4ECA11-592F-4727-9221-D2A32A16EB28,Underwater,Palau Jellies Dark
EC3DC957-D4C2-4732-AACE-7D0C0F390EC8,Underwater,Palau Jellies Light
E580E5A5-0888-4BE8-A4CA-F74A18A643C3,Underwater,Palau Jellies Blue
DD47D8E1-CB66-4C12-BFEA-2ADB0D8D1E2E,Underwater,Humpback Whale
537A4DAB-83B0-4B66-BCD1-05E5DBB4A268,Underwater,Jack School
CE9B5D5B-B6E7-47C5-8C04-59BF182E98FB,Underwater,Costa Rica Dolphin Pod
687D03A2-18A5-4181-8E85-38F3A13409B9,Underwater,Bumpheads
58C75C62-3290-47B8-849C-56A583173570,Underwater,Cownose Rays
3716DD4B-01C0-4F5B-8DD6-DB771EC472FB,Underwater,Gray Reef Sharks
6143116D-03BB-485E-864E-A8CF58ACF6F1,Underwater,Kelp Dark
82175C1F-153C-4EC8-AE37-2860EA828004,Underwater,Red Sea Coral from Above
581A4F1A-2B6D-468C-A1BE-6F473F06D10B,Underwater,Sea Stars
F439B0A7-D18C-4B14-9681-6520E6A74FE9,Earth,Middle East
2F72BC1E-3D76-456C-81EB-842EBA488C27,Earth,North Africa
4F881F8B-A7D9-4FDB-A917-17BF6AC5A589,Earth,Caribbean
03EC0F5E-CCA8-4E0A-9FEC-5BD1CE151182,Earth,Antarctica's Southern Lights
64D11DAB-3B57-4F14-AD2F-E59A9282FA44,Earth,North Atlantic
7C643A39-C0B2-4BA0-8BC2-2EAA47CC580E,Earth,Europe Night
D5CFB2FF-5F8C-4637-816B-3E42FC1229B8,Earth,Caribbean Islands
1088217C-1410-4CF7-BDE9-8F573A4DBCD9,Earth,Caribbean Sea
63C042F0-90EF-4A95-B7CC-CC9A64BF8421,Earth,West Africa
009BA758-7060-4479-8EE8-FB9B40C8FB97,Earth,East Asia
E5DB138A-F04E-4619-B896-DE5CB538C534,Earth,Southern Europe Night
A837FA8C-C643-4705-AE92-074EFDD067F7,Earth,Africa
B1B5DDC5-73C8-4920-8133-BACCE38A08DE,Earth,New York
737E9E24-49BE-4104-9B72-F352DE1AD2BF,Earth,North America Aurora
3C4678E4-4D3D-4A40-8817-77752AEA62EB,Earth,Nile Delta
7719B48A-2005-4011-9280-2F64EEC6FD91,Earth,Southern California
78911B7E-3C69-47AD-B635-9C2486F6301D,Earth,New Zealand
E556BBC5-D0A0-4DB1-AC77-BC76E4A526F4,Earth,Sahara
87060EC2-D006-4102-98CC-3005C68BB343,Earth,South Africa
6324F6EB-E0F1-468F-AC2E-A983EBDDD53B,Earth,China Night
12318CCB-3F78-43B7-A854-EFDCCE5312CD,Earth,California
81337355-E156-4242-AAF4-711768D30A54,Earth,Australia
